#AZA5 – 6000 W Van Buren St, Phoenix, AZ 85043
​#PHX3 – 6835 W. Buckeye Rd. Phoenix, AZ, 85043 – Maricopa County
#PHX5 – 16920 W. Commerce Dr. Goodyear, AZ, 85338 – Maricopa County
#PHX6 – 4750 W. Mohave St. Phoenix, AZ, 85043 – Maricopa County
#PHX7 & PHX8 – 800 N. 75th Ave Phoenix, AZ, 85043 – Maricopa County
#PHX9 – 777 S 79th Ave, Tolleson, Arizona, 85353 – Maricopa County
#SAZ1 – 3333 S 7th St., Phoenix, AZ 85040-1182 – Maricopa County
#TFC1 – 5050 W. Mohave St. Phoenix, AZ 85043 – Maricopa County
#TUS1 – 533 W Lower Buckeye Rd, Phoenix, Arizona, 85043 – Maricopa County
#TUS2 – 6701 S. Kolb Rd., Tucson, AZ 85756 – Pima County
#UAZ1 – 500 S 48th St, Phoenix, AZ 85034
#DLR1 – 1920 N Locust St, North Little Rock, AR 72114
#BFL1 – 1601 Petrol Road, Bakersfield, California, 93308 – Kern County
#DPS3 – 2405 Conejo Spectrum St, Thousand Oaks, CA 91320 – Ventura county
#DCA2 – 5250 Goodman Rd, Eastvale, CA 91752
#FAT1 – 3575 S Orange Ave, Fresno, CA 93725-9588 – Fresno County
#LAX9 – 11263 Oleander Ave, Building 1, Fontana, California, 92337-8006 – San Bernardino County
#LGB1 – 2417 E. Carson St, Long Beach, California, 90810 – Los Angeles County
#LGB3 – 4590 Goodman Way, Building 1, Eastvale, CA 91752-5088 – Riverside County
#LGB4 – 27517 Pioneer Ave, Redlands, CA 92374 – San Bernardino County
#LGB6 – 20901 Krameria Ave, Riverside, CA 92518-1513 – Riverside County
#LGB7 – 1660 N. Locust Ave., Rialto, CA 92376 – San Bernardino
#LGB9 – 4375 N Perris Blvd, Perris, California, 92571 – Riverside County
#OAK3 – 255 Park Center Drive Patterson, CA, 95363 – Stanislaus County
#OAK4/OAK6 – 1555 N. Chrisman Rd. Tracy, CA, 95304 – San Joaquin County
#ONT2/3/4/7 – 1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County
#ONT6/HLA3 – 24208 San Michele Rd. Moreno Valley, CA, 92551 – Riverside County
#ONT9 – 2125 W. San Bernardino Ave. Redlands, CA, 92374 – San Bernardino County
#PCA1 – 1565 N MacArthur Drive, Tracy, California 95376 – San Joaquin County (Seasonal facility)
#PCA2 – 1650 East Central Avenue, San Bernardino, California, 92408 – San Bernardino County (Seasonal facility)
#PSP1 – 1010 West Fourth Street, Beaumont, California, 92223 – Riverside County
#SCK1 – 4611 Newcastle Road, Stockton, California, 95215 – San Joaquin County
#SCK3 – 3565 N Airport Way, Manteca, California 95336-8696 – San Joaquin County
#SJC7 – 188 Mountain House Pkwy, Tracy, CA 95391 – San Joaquin County
#SMF1 – 4900 W Elkhorn Blvd, Metro Air Park, Sacramento, CA 95835-9505 – Sacramento County
#SMF3 – 4723 S B Street, Stockton, California, 95215-9446 – San Joaquin County
#SNA4 – 2496 W Walnut St. Rialto CA 92376-3009 – San Bernardino County
#SNA6/SNA9/DCA2 – 5250 Goodman Road, Eastvale, CA 92880 – Riverside County
#SNA7/SNA8/LGB5/KRB1 – 555 East Orange Show Rd. San Bernardino, CA 92408-2453 – San Bernardino County
#XUSD – 1909 Zephyr St., Stockton, CA 95206 – San Joaquin County
#DDV5 2889 Himalaya Drive, Aurora, Colorado, 80011 – Denver County
#DEN2 – 24006 E. 19th Ave., Aurora, CO 80019-3705 – Adams County
#DEN3 – 14601 Grant Street Thornton CO 80023-6622 – Adams County
#DEN5 – 19799 E 36th Dr, Aurora, CO 80011
#DCS3 – 4303 Grinnell Blvd, Colorado Springs, CO 80925
#BDL2 – 200 Old Iron Ore Rd., Windsor, CT  06095 – New Haven County
#BDL3 – 415 Washington Ave, Building 3, North Haven, CT 06473 – New Haven County
#PHL1 – 1 Centerpoint Blvd. New Castle, DE 19720 – New Castle County
#PHL3 – 1600 Johnson Way, New Castle, DE 19720-8111 – New Castle County
#PHL7/PHL9 – 560 Merrimac Ave Middletown, DE 19709 – New Castle County
#PHL8 – 727 N. Broad St., Middletown, DE 19709-1166 – New Castle County
#TPA2/#LAL1 – 1760 County Line Rd. Lakeland, FL, 33811 – Polk County
#TPA1 – 3350 Laurel Ridge Ave. Ruskin, FL 33570 – Hillsborough County
#JAX2 – 12900 Pecan Park Rd., Jacksonville, FL  32218-2432 – Duval County
