Business Name,Full Address,Latitude,Longitude
Expert Landscaping,"7500 West Ln, Stockton, CA 95210",38.01805022,-121.2937996
Green Valley Landscaping,"678 Grider Way, Stockton, CA  ",38.04519862,-121.322306
Marina Landscape Inc,"11535 N Davis Rd, Lodi, CA 95242",38.0734589,-121.3338289
Lodi Landscapung & Full Tree Service,"280 E Armstrong Rd, Lodi, CA 95242",38.08644411,-121.312043
Odyssey Landscaping,"5400 W Highway 12, Lodi, CA 95242",38.11560349,-121.3825882
Design West Landscaping,"15429 N Locust Tree Rd, Lodi, CA 95240",38.12021764,"38.12021764175806, -121.20336097825137"
Heras landscape maintenance,"17154 N Davis Rd, Lodi, CA 95242",38.13656789,-121.3335182
Zinfandel Complete Landscaping,"1040 W Kettleman Ln Ste 353, Lodi, CA 95240",38.1405049,-121.2568213
Bradshaw Landscaping,"26574 N Highway 99, Acampo, CA 95220",38.2290032,-121.2767306
Elt Landscape Maintenance,"10463 Grant Line Rd, Elk Grove, CA  ",38.37757087,-121.3579725
Salens Landscaping Inc.,"9261 Survey Rd, Elk Grove, CA 95624",38.37770364,-121.3578637
Freemans Landscaping Company,"9914 Kent St, Elk Grove, CA 95624",38.39745312,-121.3544771
Singh's Landscape And Maintenance,"9864 Dino Dr, Elk Grove, CA 95624",38.39981978,-121.3574904
Brio Landscaping,"11082 Jeff Brian Ln, Wilton, CA 95693",38.40904128,-121.2703733
Griffin Construction and Landscape,"7412 elizabeth rd, vacaville, CA 95688",38.42240177,-121.9074844
Sunset Landscaping,"1155 S Lincoln St, Dixon, CA 95620",38.43642503,-121.8352614
Earth Shaping Landscapes,"15575 Muller Rd, Plymouth, CA 95669",38.43654929,-120.9218591
T And D Landscaping,"8359 Elk Grove Florin Rd # 103-311, Sacramento, CA 95829",38.45425004,-121.3700594
I & P Complete Landscaping,"1225 Linford Ln, Dixon, CA 95620",38.45610532,-121.8393071
"California Majestic Landscape and Maintenance, Inc.","7503 Reese Rd, Sacramento, CA 95828",38.48550572,-121.3933121
Creekside Landscaping,"7485 Rush River Dr, Sacramento, CA 95831",38.48564766,-121.5339967
Brite Guy Landscaping,"4719 50th Ave Apt 37, Sacramento, CA 95823",38.508172,-121.4491486
Dominguez Landscaping Services Inc,"8376 Rovana Cir, Sacramento, CA 95828",38.50868019,-121.3949033
Azevedo's Landscape Maintenance,"3413 Kiessig Ave, Sacramento, CA 95823",38.50905171,-121.4699672
Dak Landscaping,"6000 Midway St Ste 450, Sacramento, CA 95828",38.52261239,-121.3965781
Valleycrest Landscape Maintenance,"5745 Alder Ave, Sacramento, CA 95828",38.52281034,-121.3731251
Ichiban Landscape Maintenance,"8295 Fruitridge Rd, Sacramento, CA 95826",38.52551526,-121.3993731
NC Foliage & Landscaping Inc.,"1029 Railroad Ave, Winters, CA  ",38.53041014,-121.9709747
Spicer Landscapes Inc,"5401 Warehouse Way, Sacramento, CA 95826",38.53051804,-121.3877086
Dak Landscape Maintenance,"4181 Power Inn Rd, Sacramento, CA 95826",38.53721152,-121.4076699
"Empire Landscaping, Inc","118 Hickory Ln, Davis, CA 95616",38.54366432,-121.7355909
Cal-Scape Landscaping Inc,"8512 Kiefer Blvd, Sacramento, CA 95826",38.54701699,-121.3895199
Roush Landscaping Services,"3770 Bradview Dr, Sacramento, CA 95827",38.55374396,-121.3249413
Justins Landscaping,"8880 Cal Center Dr Ste 400, Sacramento, CA 95826",38.55800439,-121.3766167
Ike's Landscaping,"27991 Mace Blvd, Davis, CA 95618",38.5602245,-121.6941501
Rainyday Landscaping,"2400 21st St, Sacramento, CA 95818",38.56084189,-121.4854982
Twin Rivers Landscape,"3400 Bradshaw Rd, Sacramento, CA  ",38.56185782,-121.3367461
Creations Landscaping,"3015 Bradshaw Rd Ste 206, Sacramento, CA 95827",38.56966229,-121.3361065
Quadriga Landscape Architecture & Planning,"2613 J St, Sacramento, CA 95816",38.57455933,-121.4715719
Old Village Landscaping Inc,"11516 Aerotech Ct, Rancho Cordova, CA 95742",38.57598205,-121.2547227
Old Village Landscaping Inc,"10417 Fair Oaks Blvd, Fair Oaks, CA 95628",38.57599815,-121.2547039
Chop Chop Landscaping in Sacramento,"1215 K St, Sacramento, CA 95814",38.57857733,-121.4901568
Michaels Landscaping Service,"1407 J St, Sacramento, CA 95814",38.57911102,-121.4874644
Green City Landscaping,"411 Harbor Blvd, West Sacramento, CA 95691",38.58505855,-121.5461622
American Landscape Maintenance,"3195 Luyung Dr, Rancho Cordova, CA 95742",38.58737849,-121.2557681
Cima's Landscape & Maintenance Inc,"3181 Luyung Dr Ste B, Rancho Cordova, CA 95742",38.58783994,-121.2561061
Ramirz Landscape Maintenance,"10531 Mills Tower Dr, Rancho Cordova, CA 95670",38.5907107,-121.296735
Longer's Landscaping Materials,"2100 Northgate Blvd, Sacramento, CA 95833",38.6063517,-121.4751461
AV Lawn Service and Landscaping,"11379 Trade Center Dr, Rancho Cordova, CA 95742",38.60789946,-121.2613806
Roots Landscaping,"3308 El Camino Ave, Sacramento, CA 95821",38.61020929,-121.3869713
Kim Professional Landscaping,"2511 Connie Dr, Sacramento, CA 95815",38.6113628,-121.4208796
American River Landscaping,"11300 Coloma Rd, Gold River, CA 95670",38.62005517,-121.2612783
Vista Parks Landscaping Inc,"3323 Watt Ave, Sacramento, CA 95821",38.626162,-121.383061
OTS Landscaping Services,"4101 Wayside Ln Ste C, Carmichael, CA 95608",38.63949791,-121.3259512
Olympic Landscaping,"2442 North Ave, Sacramento, CA 95838",38.63980151,-121.4101204
Vision Landscaping,"4608 Roseville Rd, North Highlands, CA 95660",38.65251391,-121.3869186
Sierra Landscape & Maintenance Inc,"4837 Auburn Blvd, Sacramento, CA 95841",38.6569242,-121.352052
Ocana Landscaping Maintenance,"5241 Madison Ave, Sacramento, CA 95841",38.66117082,-121.3417039
C & N Landscape Maintenance,"5940 Rosebud Ln, Sacramento, CA 95841",38.67448351,-121.3291524
Lawn Master Landscaping,"1233 Alice St, Woodland, CA 95776",38.67561754,-121.7642795
Chamerlain Landscaping,"8974 Greenback Ln, Orangevale, CA 95662",38.67832187,-121.2223808
Capital Landscape,"8150 Greenback Ln, Fair Oaks, CA 95628",38.67850422,-121.2601651
Betz Landscaping,"9447 Greenback Ln Ste 607, Orangevale, CA 95662",38.67858672,-121.2000725
Rick Dominguez Landscape Services,"1413 G St, Rio Linda, CA 95673",38.68150354,-121.43324
Woody Kevin D Landscape,"6830 30th St, North Highlands, CA 95660",38.69149372,-121.3950167
Fletcher's Landscape & Maintenance Company,"7340 Rio Linda Blvd, Rio Linda, CA 95673",38.70198345,-121.4565584
Royal Garden Landscaping,"2222 Francisco Dr, El Dorado Hills, CA 95762",38.71387679,-121.0858506
Machado Landscape & Maintenance,"35664 County Road 18a, Woodland, CA 95695",38.71500765,-121.8430424
Valleycrest Landscape Maintenance,"1991 Pfe Rd, Roseville, CA 95747",38.72916518,-121.318604
R B Landscaping,"501 Giuseppe Ct Ste B, Roseville, CA 95678",38.73071006,-121.3004863
All Green Landscape Maintenance,"1112 Galleria Blvd, Roseville, CA 95678",38.74246487,-121.251196
Nor-Cal Landscaping,"2999 Douglas Blvd, Roseville, CA 95661",38.74435661,-121.2448733
TLC Landscaping,"209 Bulen St, Roseville, CA 95678",38.74439237,-121.2873081
Professional Image Landscaping,"3973 Douglas Blvd, Roseville, CA 95661",38.74511535,-121.2280136
Capital Landscape,"1380 Lead Hill Blvd Ste 106, Roseville, CA 95661",38.74901244,-121.2605713
Shear Perfection Landscape & Maintenance Co.,"4010 Foothills Blvd Ste 4, Roseville, CA 95747",38.7541406,-121.3109671
Earthly Designs & Landscaping,"5089 Foothills Blvd # 3344, Roseville, CA 95747",38.76152593,-121.3091837
Fish Landscape & Maintenance,"4500 Pacific St Ste B, Rocklin, CA 95677",38.79898126,-121.2281688
Valleycrest Landscape Maintenance,"4030 Alvis Ct, Rocklin, CA 95677",38.80926354,-121.2182971
Figs Landscape & Maintenance,"5583 Taylor Rd, Loomis, CA 95650",38.80981247,-121.2097776
Figs Landscaping,"3865 Taylor Rd, Loomis, CA 95650",38.81468909,-121.2002002
Pacific Parks Landscaping,"3650 Cincinnati Ave, Rocklin, CA 95765",38.81974114,-121.3123828
Pacific Parks Landscaping Inc,"5970 Jetton Ln Ste E, Loomis, CA 95650",38.83240405,-121.1921311
Tafolla's Landscaping,"6620 Short Way, Lincoln, CA 95648",38.88899261,-121.4062513
Ponderosa Landscaping,"3031 Alhambra Dr Ste 210, Cameron Park, CA 95682","38.687240730654466,",-120.9893344
